,Unnamed: 0,Unnamed: 0.1,Ubicación,Area,Baños,Habitaciones,Precio
32,32,32,"Casa en Venta Venta De Casa Nuieva En Fuentes De San Jose Toluca
, Toluca De Lerdo, México",250,3,3,156000
33,33,33,"Casa en Venta Venta De Casa En Colonia Ocho Cedros Toluca
, Toluca De Lerdo, México",,3,4,112500
34,34,34,"Casa en Venta Venta De Casa En El Centro De Toluca
, Toluca De Lerdo, México",1690,3,4,1400000
35,35,35,"Casa en Venta Venta De Casa En Cacalomacán Centro Toluca
, Toluca De Lerdo, México",800,4,4,610000
36,36,36,"Casa en Venta Marie Curie 303, Toluca De Lerdo, México",189,4,3,282500
37,37,37,"Casa en Venta Casa Nueva Oxotitlan
, Toluca De Lerdo, México",250,1,4,150000
38,38,38,"Casa en Venta Toluca De Lerdo, México",271,2,3,257500
39,39,39,"Casa en Venta Ignacio Zaragoza 102, Toluca De Lerdo, México",120,2,3,77500
40,40,40,"Casa en Venta Venta De Casa En Valle Don Camilo En La Calle Montes Altai, Toluca
, Toluca De Lerdo, México",209,2,4,170000
41,41,41,"Casa en Venta Venta De Casa En Toluca A Un Costado De La Procuraduría
, Toluca De Lerdo, México",188,3,3,122500
42,42,42,"Casa en Venta Venta Rancho En Cacalomacan Toluca
, Cacalomacan, Toluca De Lerdo",400,5,4,500000
43,43,43,"Casa en Venta Venta De Casa En Cacalomacán Estado De Mèxico
, Cacalomacan, Toluca De Lerdo",,3,4,850000
44,44,44,"Casa en Venta Las Misiones
, San Mateo Otzacatipan, Toluca De Lerdo",,2,3,78000
45,45,45,"Casa en Venta Toluca De Lerdo, México",1046,4,4,1150000
46,46,46,"Casa en Venta Casa En Venta En Galeana, Toluca Centro
, Toluca De Lerdo, México",380,4,6,700000
47,47,47,"Casa en Venta Toluca De Lerdo, México",425,3,3,795000
48,48,48,"Casa en Venta Venta De Casa En Colonia Ocho Cedros Toluca
, Toluca De Lerdo, México",237,7,8,155000
49,49,49,"Casa en Venta Venta De Casa Con 3 Locales En El Centro De Toluca
, Toluca De Lerdo, México",282,,,480250
50,50,50,"Casa en Venta Toluca De Lerdo, México",566,5,,1250000
51,51,51,"Casa en Venta Venta De Casa En El Cerrillo Vista Hermosa Toluca
, Toluca De Lerdo, México",120,1,3,57500
52,52,52,"Casa en Venta Venta De Casa A Precio De Terreno En El Centro De Toluca
, Toluca De Lerdo, México",,,,325000
53,53,53,"Casa en Venta Morelos Esquina Quintana Roo, Toluca De Lerdo, México",355,6,8,175000
54,54,54,"Casa en Venta Céntrica Casa En Venta O Renta En Av Instituto Literario Toluca
, Toluca De Lerdo, México",600,4,4,475000
55,55,55,"Casa en Venta Prolongacion San Pedro Totoltepec 302, San Pedro Totoltepec, Toluca De Lerdo",151,2,3,81000
56,56,56,"Casa en Venta Vesana 104, Capultitlán, Toluca De Lerdo",168,2,3,74205.65
57,57,57,"Casa en Venta Prol Paseo Totoltepec 302, San Pedro Totoltepec, Toluca De Lerdo",100,2,2,51836.7
58,58,58,"Casa en Venta Paseos Del Valle, Rincón Del Parque, Toluca De Lerdo",100,2,3,41390.35
59,59,59,"Casa en Venta San Marcos 259, Toluca, Toluca De Lerdo",108,2,3,24426.85
60,60,60,"Casa en Venta Rinconada De Mayordomo, San Mateo Otzacatipan, Toluca De Lerdo",250,2,3,102469.65
61,61,61,"Casa en Venta Valle De Isarco 20, Toluca De Lerdo, México",270,3,4,145670.6
62,62,62,"Casa en Venta Valle De Trebbia 12, Toluca De Lerdo, México",300,3,4,116750
63,63,63,"Casa en Venta Hacienda Las Carretas 48, Toluca De Lerdo, México",120,2,3,19096.65
64,64,64,"Casa en Venta Boulevard Lic Adolfo Lopez Mateos 146, Toluca De Lerdo, México",160,2,3,41500
65,65,65,"Casa en Venta Privada Vainlla 1799, Toluca De Lerdo, México",210,3,4,71500
66,66,66,"Casa en Venta Privada Gardenia 3089, Toluca De Lerdo, México",210,3,4,74113.2
67,67,67,"Casa en Venta Bosque De Encinos 1819, Toluca De Lerdo, México",200,3,4,67750
68,68,68,"Casa en Venta Rebeca 155, Unidad Victoria, Toluca De Lerdo",120,2,3,127660.75
69,69,69,"Casa en Venta Cda Hacienda San Jorge, San Mateo Oxtotitlán, Toluca De Lerdo",120,2,3,41165.9
70,70,70,"Casa en Venta Valle De Trebbia 12, Toluca De Lerdo, México",240,3,4,139750
71,71,71,"Casa en Venta Prolongacion 5 De Mayo 1541, Comisión Federal De Electricidad, Toluca De Lerdo",130,2,3,236990.45
72,72,72,"Casa en Venta Av. Independencia 143, Toluca De Lerdo, México",120,2,2,20850
73,73,73,"Casa en Venta Miguel Mata No. 209 santiago Miltepec toluca Edo Mex., Toluca De Lerdo, México",140,2,3,21530.1
74,74,74,"Casa en Venta Jose Maria Morelos 105, Independencia, Toluca De Lerdo",45,1,2,18637.4
75,75,75,"Casa en Venta Santos Degollado 000 Niños Heroes,toluca,estado De Mexico,50100, Niños Héroes, Toluca De Lerdo",350,2,4,68491.25
76,76,76,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110,2,3,47363.3
77,77,77,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110,2,3,47363.3
78,78,78,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110,2,3,47363.3
79,79,79,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110,2,3,47363.3
80,80,80,"Casa en Venta Prolongación Ruta De La Independencia # 131, Independencia, Toluca De Lerdo",110,2,3,16500
81,81,81,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110,2,3,47363.3
82,82,82,"Casa en Venta Fracc Hacienda Del Valle Ii, Hacienda Del Valle Ii, Toluca De Lerdo",110,2,3,19096.65
83,83,83,"Casa en Venta Tierra Y Libertad 114 Casa 00 La Ribera,toluca,toluca,estado De Mexico,50100, San Mateo Oxtotitlán, Toluca De Lerdo",130,2,3,39785.95
84,84,84,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110,2,3,47363.3
85,85,85,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110,2,3,47363.3
86,86,86,"Casa en Venta Guerrero, Cacalomacan, Toluca, Cacalomacan, Toluca De Lerdo",220,2,4,43737.1
87,87,87,"Casa en Venta Prolongacion Progreso 305, Bosques De San Mateo, Toluca De Lerdo",160,2,3,30120.4
88,88,88,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110,2,3,47363.3
89,89,89,"Casa en Venta Arboleda 2, Hacienda Del Valle Ii, Toluca De Lerdo",110,2,3,47363.3
90,90,90,"Casa en Venta Paloma Torcaza 38, Toluca De Lerdo, México",100,1,3,18958
91,91,91,"Casa en Venta Carr.toluca-naucalpan #1702, San Mateo Otzacatipan, Toluca De Lerdo",150,2,3,73500
92,92,92,"Casa en Venta Manuel M. Dieguez  503, Guadalupe, Toluca De Lerdo",180,2,3,29450
93,93,93,"Casa en Venta Tierra Y Libertad 114, Toluca De Lerdo, México",120,2,3,49553.05
94,94,94,"Casa en Venta Agronomos 101 Fracc.misiones De Santa Esperaza, Toluca 50227, Misiones De Santa Esperanza, Toluca De Lerdo",120,2,3,19842.85
95,95,95,"Casa en Venta Azaleas Las Flores, Toluca De Lerdo, México",120,1,3,27737.7
96,96,96,"Casa en Venta Paloma Silvestre 86, Toluca De Lerdo, México",80,1,3,18958
97,97,97,"Casa en Venta Arteaga Oriente, Toluca De Lerdo, México",300,3,3,112500
98,98,98,"Casa en Venta Adolfo Lopez Mateos 146, Toluca De Lerdo, México",100,2,3,41500
99,99,99,"Casa en Venta Arco Iris 15b, Bosques De San Mateo, Toluca De Lerdo",90,1,2,31783.5
100,100,100,"Casa en Venta Nezahualcoyotl 716, Izcalli Ipiem, Toluca De Lerdo",150,2,3,53250
101,101,101,"Casa en Venta Luis Gonzaga Urbina, Tlacopa, Toluca De Lerdo",500,2,3,142750
102,102,102,"Casa en Venta Miguel Hidalgo 79, Toluca De Lerdo, México",240,3,4,192500
103,103,103,"Casa en Venta Adolfo Lopez Mateos 146, Toluca De Lerdo, México",100,2,3,41500
104,104,104,"Casa en Venta Hacienda Cerro Viejo, San Nicolás Tolentino, Toluca De Lerdo",120,2,3,49750
105,105,105,"Casa en Venta Filiberto Navas 00, Rancho San Jorge, Toluca De Lerdo, Méx. 50100, Ex-hacienda San Jorge, Toluca De Lerdo",100,1,3,60283.7
106,106,106,"Casa en Venta Boulevard De Los Continentes 118, De Tlanepantla, Toluca De Lerdo",400,4,4,218110.7
107,107,107,"Casa en Venta De La Barraca #00-0 Barrio Tlacopa Toluca De Lerdo 50010, Tlacopa, Toluca De Lerdo",85,1,3,25826.75
108,108,108,"Casa en Venta Rinconada De La Capilla, San Mateo Otzacatipan, Toluca De Lerdo",300,4,4,180250
109,109,109,"Casa en Venta Girasol 218, Club Jardín, Toluca De Lerdo",125,2,3,63782.75
110,110,110,"Casa en Venta Hacienda Las Carretas, Toluca De Lerdo, México",70,1,3,19096.65
111,111,111,"Casa en Venta Girasol 218, Toluca De Lerdo, México",125,2,3,63782.75
112,112,112,"Casa en Venta Isla San Juan De Ulúa 125, De Tlanepantla, Toluca De Lerdo",200,3,4,48000
113,113,113,"Casa en Venta Fernando Aguilar Vilchis, Rancho La Mora, Toluca De Lerdo",160,2,3,20602.1
114,114,114,"Casa en Venta Girasol 218, Toluca De Lerdo, México",125,2,3,63782.75
115,115,115,"Casa en Venta San Mateo Otzacatipan, 50200 San Nicolás Tolentino, San Mateo Otzacatipan, Toluca De Lerdo",120,2,2,90500
116,116,116,"Casa en Venta Rebeca No. Ext 155, Unidad Victoria, Toluca De Lerdo",150,1,3,52500
117,117,117,"Casa en Venta Cerro Del Mercado 205, De Tlanepantla, Toluca De Lerdo",150,2,3,62500
118,118,118,"Casa en Venta María Curie, Toluca De Lerdo, México",200,3,3,197250
119,119,119,"Casa en Venta Girasol 00, Toluca De Lerdo, México",125,2,3,63782.75
120,120,120,"Casa en Venta Paloma Tortola 00, Las Palomas, Toluca De Lerdo, Méx., Toluca De Lerdo, México",50,1,2,23550.35
121,121,121,"Casa en Venta Juan Silveti 137, Toluca De Lerdo, México",100,2,3,28750
122,122,122,"Casa en Venta Adolfo Lopez Mateos # 146, Centro, Toluca De Lerdo",140,1,3,59933.2
123,123,123,"Casa en Venta Av Independencia # 139, Toluca De Lerdo, México",100,1,3,20850
124,124,124,"Casa en Venta Arbol De Las Manitas Toluca, Toluca De Lerdo, México",120,2,3,19270
125,125,125,"Casa en Venta Las Flores No Ext 278 No Int 43, Tlacopa, Toluca De Lerdo",565,3,6,528569.9
126,126,126,"Casa en Venta Prolongacion 5 De Mayo #1541, Toluca De Lerdo, México",150,2,4,74500
127,127,127,"Casa en Venta Independencia 129, Toluca De Lerdo, México",200,3,5,73500
128,128,128,"Casa en Venta Miguel Hidalgo #, Centro, Toluca De Lerdo",153,2,3,33159.2
129,129,129,"Casa en Venta Carretera Toluca Naucalpan # 00, San Mateo Oxtotitlán, Toluca De Lerdo",200,2,3,73500
130,130,130,"Casa en Venta Manuel M Dieguez, Toluca De Lerdo, México",120,2,3,23950
131,131,131,"Casa en Venta Av Hidalgo, San Bernardino, Toluca De Lerdo",240,2,4,33307.5
132,132,132,"Casa en Venta Isabel La Catolica, Américas, Toluca De Lerdo",150,2,4,54810
133,133,133,"Casa en Venta Guillermo Marconi Toluca, Toluca De Lerdo, México",120,2,3,34963.6
134,134,134,"Casa en Venta Toluca # 606, Sector Popular, Toluca De Lerdo",100,2,2,28474
135,135,135,"Casa en Venta Adolfo López Mateos 146, Toluca De Lerdo, México",150,2,3,41500
136,136,136,"Casa en Venta Jose Marti 209, Toluca De Lerdo, México",95,2,2,27900
137,137,137,"Casa en Venta Av Independencia 143, Toluca De Lerdo, México",100,2,3,18850
138,138,138,"Casa en Venta Isabela Catolica # 00, Américas, Toluca De Lerdo",120,2,3,54810
139,139,139,"Casa en Venta Azucena 125b, 5 De Mayo, Toluca De Lerdo",80,2,3,17928.4
140,140,140,"Casa en Venta San Marcos, Toluca De Lerdo, México",121,2,3,24272
141,141,141,"Casa en Venta Camino Viejo A San Lorenzo 200, Toluca De Lerdo, México",90,2,3,20367.25
142,142,142,"Casa en Venta Santa Cruz Otzacatipan, Toluca De Lerdo, México",200,2,3,170750
143,143,143,"Casa en Venta Arbol De Las Manitas, Toluca De Lerdo, México",150,2,3,19270
144,144,144,"Casa en Venta Bosques De Pirules 105 Toluca, Toluca De Lerdo, México",100,2,3,29410
145,145,145,"Casa en Venta Azaleas, Toluca De Lerdo, México",95,2,3,27737.65
146,146,146,"Casa en Venta Av Independencia 143, Toluca De Lerdo, México",100,2,3,18850
147,147,147,"Casa en Venta Guillermo # 00, Toluca De Lerdo, México",100,2,2,34963.6
148,148,148,"Casa en Venta Jose Maria Jauregui No. 00, Toluca De Lerdo, México",140,2,2,26851.6
149,149,149,"Casa en Venta Avenida Independencia # 00, Toluca De Lerdo, México",130,2,2,18850
150,150,150,"Casa en Venta Antiguo Camino A San Lorenzo # 200, Independencia, Toluca De Lerdo",120,1,4,48341.05
151,151,151,"Casa en Venta Jose Marti 200, Independencia, Toluca De Lerdo",100,2,3,48341.05
152,152,152,"Casa en Venta Cristobal Olmedo, San Miguel Apinahuizco, Toluca De Lerdo",330,2,4,28392.9
153,153,153,"Casa en Venta Lago Tanganica, Toluca De Lerdo, México",190,2,3,74275
154,154,154,"Casa en Venta Jose Vicente Villada 101 - Casa-9,l-9, Toluca De Lerdo, México",245,3,4,154750
155,155,155,"Casa en Venta Tierra Y Libertad # 00, Toluca De Lerdo, México",200,2,3,49553.05
156,156,156,"Casa en Venta Adolfo Lopez Mateos # 146, Toluca De Lerdo, México",100,23,3,41500
157,157,157,"Casa en Venta Toluca De Lerdo, México",90,2,3,23499.6
158,158,158,"Casa en Venta Miguel Hidalgo San Lorenzo Tepaltitlan Toluca, San Lorenzo Tepaltitlán Centro, Toluca De Lerdo",122,1,3,73014
159,159,159,"Casa en Venta La Barranca #, Tlacopa, Toluca De Lerdo",70,1,2,25826.75
160,160,160,"Casa en Venta Rancho Seco #, Unidad Victoria, Toluca De Lerdo",80,1,2,10653.05
161,161,161,"Casa en Venta Progreso 305, Toluca De Lerdo, México",110,3,4,30120.4
162,162,162,"Casa en Venta Hidalgo Poniente San Bernardino, Toluca De Lerdo, México",160,2,3,33307.45
163,163,163,"Casa en Venta Azaleas #, San Lorenzo Tepaltitlán Centro, Toluca De Lerdo",95,1,3,27737.7
164,164,164,"Casa en Venta Paloma Silvestre #, Centro, Toluca De Lerdo",130,1,3,23565.35
165,165,165,"Casa en Venta Hacienda Zumpango, Hacienda Del Valle Ii, Toluca De Lerdo",85,2,2,49822.4
166,166,166,"Casa en Venta Prol. 5 De Mayo 2 Ote, Toluca De Lerdo, México",120,2,3,74500
167,167,167,"Casa en Venta Galileo Galilei, Toluca De Lerdo, México",300,3,4,90750
168,168,168,"Casa en Venta Av. Bosques Del Nevado, Toluca De Lerdo, México",180,2,3,36625
169,169,169,"Casa en Venta Paloma Silvestre 32, Toluca De Lerdo, México",62,1,2,24002.9
170,170,170,"Casa en Venta Jose Ma Arteaga, Toluca De Lerdo, México",112,2,3,112500
171,171,171,"Casa en Venta Bosques De Pirules 105, Toluca De Lerdo, México",100,2,3,29410
172,172,172,"Casa en Venta C. De La Independencia 129, Toluca De Lerdo, México",150,2,3,73500
173,173,173,"Casa en Venta Delegación San Mateo Otzacatipan, Toluca De Lerdo, Méx.
, Toluca De Lerdo, México",70,1,2,64500
174,174,174,"Casa en Venta Av Hidalgo 17
, De Tlanepantla, Toluca De Lerdo",160,4,4,165000
175,175,175,"Casa en Venta Toluca
, Toluca De Lerdo, México",540,5,4,565000
176,176,176,"Casa en Venta Venta Casa En La Col. Morelos
, Morelos 1a Sección, Toluca De Lerdo",92,1,3,149000
177,177,177,"Casa en Venta Ceboruco #sn
, Ampliación Lázaro Cárdenas, Toluca De Lerdo",177,3,3,155000
178,178,178,"Casa en Venta Cacalomacan, Toluca De Lerdo",250,5,3,212500
179,179,179,"Casa en Venta Casa Sola Toluca Cu Tollocan Matlazincas Adolfo López Mateos
, Rincón Del Parque, Toluca De Lerdo",230,3,5,125000
180,180,180,"Casa en Venta Juan Álvarez 918, Vértice, 50090 Toluca De Lerdo, Méx.
, Vértice, Toluca De Lerdo",180,2,3,117500
181,181,181,"Casa en Venta Cacalomacan, Toluca De Lerdo",250,5,3,212500
182,182,182,"Casa en Venta Cacalomacán, Edo. De México
, Cacalomacan, Toluca De Lerdo",335,3,3,382500
183,183,183,"Casa en Venta Ampliación Lázaro Cárdenas, Toluca De Lerdo",177,3,3,157500
184,184,184,"Casa en Venta Paseo De Los Jinetes, Cacalomacan
, Toluca De Lerdo, México",2000,6,6,10000000
185,185,185,"Casa en Venta Cristobal Colon
, San Mateo Oxtotitlán, Toluca De Lerdo",140,2,2,115000
186,186,186,"Casa en Venta Paseo De Los Clérigos
, Toluca De Lerdo, México",87,2,3,82500
187,187,187,"Casa en Venta Paseo De Los Dioses #234, 23
, Toluca De Lerdo, México",170,3,3,124500
188,188,188,"Casa en Venta Ceboruco #sn
, Toluca De Lerdo, México",177,3,3,155000
189,189,189,"Casa en Venta Niños Héroes #316, 1
, Toluca De Lerdo, México",135,3,3,98500
190,190,190,"Casa en Venta Casa Valle Don Camilo Cerca Las Torres Tollocan
, Toluca De Lerdo, México",400,4,4,300000
191,191,191,"Casa en Venta A Solo 10 Min De Pabellon Metepec #sn
, Toluca De Lerdo, México",177,3,3,155000
192,192,192,"Casa en Venta Paseo Colón Null
, Ciprés, Toluca De Lerdo",,3,6,1900000
193,193,193,"Casa en Venta Calle Ramon Gomez Del V. 109
, Toluca De Lerdo, México",,4,4,324500
194,194,194,"Casa en Venta Ometusco #00
, Los Sauces V, Toluca De Lerdo",74,1,3,14386.5
195,195,195,"Casa en Venta Av. Arboleda 102, Col, 50220 San Mateo Otzacatipan, Méx. #sn
, Toluca De Lerdo, México",124,3,3,93000
196,196,196,"Casa en Venta Pedro Ascencio #400
, Toluca De Lerdo, México",115,2,2,87500
197,197,197,"Casa en Venta Https://goo.gl/maps/5l6yq7whzfplav5q7
, Toluca De Lerdo, México",332,2,3,180000
198,198,198,"Casa en Venta Mextli #sn
, Toluca De Lerdo, México",170,3,3,155000
199,199,199,"Casa en Venta Cristóbal Colón
, San Mateo Oxtotitlán, Toluca De Lerdo",149,1,3,105000
200,200,200,"Casa en Venta Cerrada De Abedules No, 6 6
, Toluca De Lerdo, México",,9,6,3500000
201,201,201,"Casa en Venta Luis Donaldo Colosio #0, 1
, Toluca De Lerdo, México",200,3,3,67500
202,202,202,"Casa en Venta Toluca De Lerdo, México",177,3,3,155000
203,203,203,"Casa en Venta Km. 52.5 Carretera Toluca Naucalpan #km 52.5
, Toluca De Lerdo, México",100,3,3,64146
204,204,204,"Casa en Venta Campo Real, Delegación Santa María Totoltepec, 50245 Toluca De Lerdo, Méx.
, Santa María Totoltepec, Toluca De Lerdo",180,2,3,125000
205,205,205,"Casa en Venta Av. Encinos
, Toluca De Lerdo, México",204,3,4,80000
206,206,206,"Casa en Venta Toluca De Lerdo, México",160,2,3,120000
207,207,207,"Casa en Venta Miguel Hidalgo
, La Merced  (alameda), Toluca De Lerdo",1046,3,4,1150000
208,208,208,"Casa en Venta Lago Del Oso N 314 Colonia Villa Hogar, Cp52170, Toluca Estado De México, México.
, Villa Hogar, Toluca De Lerdo",,2,3,137500
209,209,209,"Casa en Venta Flor De Ma. R. De M. 104a, Barrio De La Merced, De La Merced, Estado De México
, La Merced  (alameda), Toluca De Lerdo",300,2,4,292500
210,210,210,"Casa en Venta Hermosa Residencia En Venta, Residencial Colón, Toluca, Edo. De México.
, Ciprés, Toluca De Lerdo",390,5,5,430000
211,211,211,"Casa en Venta San Nicolas Tolentino Otzacatipan 50230 San Nicolás Tolentino, Méx #sn
, Toluca De Lerdo, México",113,3,3,84750
212,212,212,"Casa en Venta Hacieda Guadalupe #36
, Toluca De Lerdo, México",132,2,2,55000
213,213,213,"Casa en Venta Mza 43 #43, 00
, San Nicolás Tolentino, Toluca De Lerdo",110,1,3,60000
214,214,214,"Casa en Venta Carretera Toluca Naucalpan #1702
, Toluca De Lerdo, México",100,3,3,67565
215,215,215,"Casa en Venta Juan Aldama Sur 512
, Toluca De Lerdo, México",,5,5,730000
216,216,216,"Casa en Venta Casa En Venta, Cacalomacan, Edo. De México.
, Cacalomacan, Toluca De Lerdo",300,2,3,215000
217,217,217,"Casa en Venta Moctezuma Xocoyotzin
, Santa María Totoltepec, Toluca De Lerdo",170,1,3,82500
218,218,218,"Casa en Venta Prolongacion Laguna Del Volcan S/n
, Héroes Del 5 De Mayo, Toluca De Lerdo",400,3,,185000
219,219,219,"Casa en Venta Hacienda Molino De Las Flores #00
, Toluca De Lerdo, México",74,1,3,16297.35
220,220,220,"Casa en Venta Aretusa #227
, Toluca De Lerdo, México",72,2,3,43000
221,221,221,"Casa en Venta Casa En Venta, Cacalomacan, Toluca, Edo. De México.
, Cacalomacan, Toluca De Lerdo",300,2,3,215000
222,222,222,"Casa en Venta Eulalia Peñaloza #000, 000
, Toluca De Lerdo, México",225,2,3,99826.5
223,223,223,"Casa en Venta San Lucas #00
, Toluca De Lerdo, México",60,1,2,22322.2
224,224,224,"Casa en Venta Toluca De Lerdo, México",390,7,6,250000
225,225,225,"Casa en Venta Fernando González 207, Valle Verde Y Terminal, 50140 Toluca De Lerdo, Méx.
, Valle Verde, Toluca De Lerdo",227,2,3,155000
226,226,226,"Casa en Venta Flor De Ma. R. De M. 104a, Barrio De La Merced, De La Merced, Estado De México #**
, La Merced  (alameda), Toluca De Lerdo",300,3,4,292500
227,227,227,"Casa en Venta Principal #0, 1
, Toluca De Lerdo, México",187,3,4,129000
228,228,228,"Casa en Venta Guillermo Marconi #0, 0
, Toluca De Lerdo, México",120,2,3,62450
229,229,229,"Casa en Venta Roble
, Santa María Totoltepec, Toluca De Lerdo",72,1,2,49450
230,230,230,"Casa en Venta Ara Las Misiones #00
, Toluca De Lerdo, México",96,3,3,72500
231,231,231,"Casa en Venta Paseo Toscana #1702
, Toluca De Lerdo, México",127,3,3,115000
232,232,232,"Casa en Venta Oportunidad Casa Venta Toluca A Dos Cuadras Av Alfredo Del Mazo Col Cientificos Escuela Simon Bolivar
, Toluca De Lerdo, México",253,2,4,165000
233,233,233,"Casa en Venta Toluca De Lerdo, México",600,8,6,1250000
234,234,234,"Casa en Venta Casa En Venta La Pera, Cacalomacan, Toluca, Edo. De México
, Cacalomacan, Toluca De Lerdo",220,2,3,200000
235,235,235,"Casa en Venta Casa En Venta Las Misiones Toluca
, Toluca De Lerdo, México",96,2,3,77500
236,236,236,"Casa en Venta Antonio Albarran #612
, Toluca De Lerdo, México",114,1,3,46650.15
237,237,237,"Casa en Venta Carretera México Toluca #00
, Toluca De Lerdo",96,2,3,81500
238,238,238,"Casa en Venta Venta Casa Col. Morelos, Toluca Edo. De México
, Morelos 1a Sección, Toluca De Lerdo",160,1,3,160000
239,239,239,"Casa en Venta Héroes Del 5 De Mayo, Toluca De Lerdo",360,2,4,125000
240,240,240,"Casa en Venta Toluca De Lerdo, México",177,3,3,155000
241,241,241,"Casa en Venta Casa En Venta En Toluca, Santa Ana Tlapaltitlan
, Santa Ana Tlapaltitlán, Toluca De Lerdo",240,2,3,110000
242,242,242,"Casa en Venta Circuito San Jose Rinconada De La Casa Grande #00
, Toluca De Lerdo, México",250,2,3,119500
243,243,243,"Casa en Venta San Mateo Oxtotitlán, Toluca De Lerdo",140,2,3,115000
244,244,244,"Casa en Venta Fraccionamiento Los Sauces #0
, Toluca, Toluca De Lerdo",90,1,2,35160
245,245,245,"Casa en Venta Andres Benavides
, Ciprés, Toluca De Lerdo",215,4,4,232500
246,246,246,"Casa en Venta Av: Hidalgo
, La Merced  (alameda), Toluca De Lerdo",955,4,4,1050000
